raw,confidence,top_gap,internal_total,ood_total,correct_accept,wrong_internal_accept,rejected_internal,ood_false_accept,ood_true_reject,accepted_precision,internal_recall,f1,f0_5,ood_rejection,external_call_rate,objective
0.6,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.61,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.62,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.63,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.64,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.65,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.66,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.67,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.68,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.69,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.7,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.71,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.72,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.73,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.74,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.75,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.4,0.64,0.015,112,64,46,15,51,1,63,0.7419354838709677,0.4107142857142857,0.528735632183908,0.638888888888889,0.984375,0.6477272727272727,0.6796254960317462
